iter	Passed	Remaining
1541	25776	7655
1542	25793	7639
1543	25809	7622
1544	25824	7605
1545	25841	7588
1546	25856	7571
1547	25872	7554
1548	25888	7537
1549	25904	7520
1550	25919	7503
1551	25937	7487
1552	25953	7470
1553	25969	7453
1554	25986	7436
1555	26002	7419
1556	26018	7402
1557	26033	7385
1558	26048	7368
1559	26066	7351
1560	26085	7336
1561	26103	7319
1562	26118	7302
1563	26135	7285
1564	26151	7269
1565	26167	7252
1566	26185	7235
1567	26202	7219
1568	26219	7202
1569	26235	7185
1570	26253	7169
1571	26270	7152
1572	26285	7135
1573	26303	7119
1574	26320	7102
1575	26337	7085
1576	26354	7069
1577	26372	7052
1578	26388	7035
1579	26407	7019
1580	26424	7003
1581	26441	6986
1582	26460	6970
1583	26476	6953
1584	26493	6936
1585	26512	6920
1586	26532	6904
1587	26549	6888
1588	26565	6871
1589	26581	6854
1590	26598	6837
1591	26616	6821
1592	26633	6804
1593	26649	6787
1594	26665	6770
1595	26684	6754
1596	26702	6738
1597	26719	6721
1598	26737	6705
1599	26761	6690
1600	26779	6673
1601	26807	6659
1602	26823	6643
1603	26840	6626
1604	26855	6609
1605	26870	6592
1606	26887	6575
1607	26903	6558
1608	26919	6541
1609	26935	6524
1610	26951	6507
1611	26966	6490
1612	26982	6473
1613	26998	6456
1614	27016	6440
1615	27035	6424
1616	27059	6409
1617	27073	6391
1618	27087	6374
1619	27101	6357
1620	27115	6339
1621	27132	6323
1622	27147	6306
1623	27163	6289
1624	27179	6272
1625	27196	6255
1626	27212	6238
1627	27228	6221
1628	27244	6204
1629	27260	6188
1630	27276	6171
1631	27293	6154
1632	27309	6137
1633	27324	6120
1634	27341	6103
1635	27356	6086
1636	27371	6069
1637	27387	6052
1638	27404	6036
1639	27424	6020
1640	27441	6003
1641	27459	5986
1642	27475	5970
1643	27491	5953
1644	27507	5936
1645	27522	5919
1646	27538	5902
1647	27554	5885
1648	27568	5868
1649	27583	5851
1650	27599	5834
1651	27615	5817
1652	27633	5800
1653	27647	5783
1654	27662	5766
1655	27677	5749
1656	27694	5732
1657	27709	5715
1658	27724	5698
1659	27741	5682
1660	27756	5664
1661	27772	5648
1662	27789	5631
1663	27805	5614
